movie_title,genres,gross,imdb_score,director_name,actor_1_name,actor_2_name,actor_3_name,,,
Avatar,Action Adventure Fantasy Sci-Fi,760505847,7.9,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,,,
Pirates of the Caribbean: At World's End,Action Adventure Fantasy,309404152,7.1,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,,,
Spectre,Action Adventure Thriller,200074175,6.8,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,,,
The Dark Knight Rises,Action Thriller,448130642,8.5,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,,,
Star Wars: Episode VII - The Force Awakens             ,Documentary,,7.1,Doug Walker,Doug Walker,Rob Walker,,,,
John Carter,Action Adventure Sci-Fi,73058679,6.6,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,,,
Spider-Man 3,Action Adventure Romance,336530303,6.2,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,,,
Tangled,Adventure Animation Comedy Family Fantasy Musical Romance,200807262,7.8,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,,,
Avengers: Age of Ultron,Action Adventure Sci-Fi,458991599,7.5,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,,,
Harry Potter,Adventure Family Fantasy Mystery,301956980,7.5,David Yates,Emma Watson,Daniel Radcliffe,Rupert Grint,,,
Batman v Superman: Dawn of Justice,Action Adventure Sci-Fi,330249062,6.9,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,,,
Superman Returns,Action Adventure Sci-Fi,200069408,6.1,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,,,
Quantum of Solace,Action Adventure,168368427,6.7,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,,,
Pirates of the Caribbean: Dead Man's Chest,Action Adventure Fantasy,423032628,7.3,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,,,
The Lone Ranger,Action Adventure Western,89289910,6.5,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,,,
Man of Steel,Action Adventure Fantasy Sci-Fi,291021565,7.2,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,,,
The Chronicles of Narnia: Prince Caspian,Action Adventure Family Fantasy,141614023,6.6,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,,,
The Avengers,Action Adventure Sci-Fi,623279547,8.1,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,,,
Pirates of the Caribbean: On Stranger Tides,Action Adventure Fantasy,241063875,6.7,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,,,
Men in Black 3,Action Adventure Comedy Family Fantasy Sci-Fi,179020854,6.8,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,,,
The Hobbit: The Battle of the Five Armies,Adventure Fantasy,255108370,7.5,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,,,
The Amazing Spider-Man,Action Adventure Fantasy,262030663,7,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,,,
Robin Hood,Action Adventure Drama History,105219735,6.7,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,,,
The Hobbit: The Desolation of Smaug,Adventure Fantasy,258355354,7.9,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,,,
The Golden Compass,Adventure Family Fantasy,70083519,6.1,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,,,
King Kong,Action Adventure Drama Romance,218051260,7.2,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,,,
Titanic,Drama Romance,658672302,7.7,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,,,
Captain America: Civil War,Action Adventure Sci-Fi,407197282,8.2,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,,,
Battleship,Action Adventure Sci-Fi Thriller,65173160,5.9,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,,,
Jurassic World,Action Adventure Sci-Fi Thriller,652177271,7,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,,,
Skyfall,Action Adventure Thriller,304360277,7.8,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,,,
